,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,"Intentional homicides, female (per 100,000 female)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91950592558924,2.97133758315995,2.87545175563563,2.73947228928257,2.68426684904522,2.89344264122724,2.74032078669319,2.75237824414071,2.92483859448283,2.91728935070218,3.02227130923788,2.98323543628376,3.08391759194299,2.99700585535857,2.87123059009808,2.89442495381078,2.67298254479988,2.76050114829198,2.64704509146302,2.60381440741946,2.57756899886359,2.42577425999889,2.49792462697395,0.0
2,Battle-related deaths (number of people),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,2326.0,3153.0,3078.0,1503.0,1178.0,836.0,833.0,950.0,881.0,2041.0,2929.0,1164.0,1897.0,1711.0,1249.0,1382.0,1373.0,1086.0,1083.0,1115.0,1028.0,439.0,416.0,405.0,473.0,504.0,636.0,665.0,824.0,594.0,584.0,430.0,0.0
3,Voice and Accountability: Percentile Rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,61.6915435791016,0.0,59.2039794921875,0.0,61.1940307617188,63.1840782165527,61.538459777832,61.538459777832,59.1346168518066,59.6153831481934,60.0961532592773,59.7156410217285,60.1895751953125,61.0328636169434,61.0328636169434,61.5023460388184,60.0985221862793,60.5911331176758,61.5763549804688,58.6206893920898,57.9710159301758,56.038646697998,53.1400947570801,51.6908226013184,0.0
4,Transport services (% of commercial service exports),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.49789527777687,35.359064760926714,27.729339620719095,22.543614876049546,19.706236199434052,15.597722434331956,17.297319477809438,15.706037570941628,13.793902210456102,15.921247994138865,15.736729696748986,17.006293629828043,19.428718877486613,23.246093809508654,20.7700670861138,20.81392162673122,19.880129570388057,21.156072432770177,24.673728688917663,28.422116215624943,27.951355413546956,27.701272839731473,21.759147916396994,16.02111073402091,13.164582757686716,14.210305777266738,15.489539274354561,14.969825920361831,14.835764005577397,13.032951035351461,12.607405348289163,12.508423582736672,11.840613034001969,12.117399747715108,12.145278990509576,11.386836269151859,12.833177873795115,12.07116981310527,11.375528210546364,11.874458547607615,9.195539777955924,9.412097494882236,9.194177616891167,9.298540791078079,9.865792550211234,10.267544713488375,12.233038379767622,12.160227064534649
5,"Computer, communications and other services (% of commercial service exports)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.225290699641562,32.17143235842174,28.19435692232551,29.592383250762154,33.97326237641748,28.868431424405827,32.75444188868657,40.87317785614066,47.89496627312448,59.18720458311308,55.569255816400414,44.65388575056521,37.83652441029898,37.00579065231958,41.150672265563095,42.70349503034309,40.4051208175208,28.868816976202353,29.631869754971007,31.49570299863082,31.362380848386096,29.936398351579186,43.29984851501674,55.25703397969954,63.64819387178809,60.88316144509768,61.97255756995988,63.946293931982424,63.004009434669314,67.4885661357342,68.92239348406977,69.99154220332123,70.05314463656639,71.14732274013323,70.26526637110831,69.6530257487833,67.92565343051821,70.29041686875445,70.52329097454367,70.48587460949588,72.60354027642558,72.20694828748128,72.2272050568236,72.79782401901863,72.35574663740607,80.10615542394214,80.7521460708341,80.9197930691916
6,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",8.671488389798249,9.714988425925926,11.731682740751403,12.922667005011737,15.960276644795176,18.577051165607024,19.069651119169688,18.325650928117604,18.586552217453505,20.586867941039735,20.973662498579625,20.574791127296177,21.207111563264032,18.64826215276017,18.40420009559689,16.2842601906953,14.77968871440244,18.298365396267318,15.86397905047959,15.131589229062154,21.767988530941576,26.96432521435195,27.878649940315338,22.073362376834833,22.35136108809291,24.6642140332202,22.0748850321134,17.94267365891841,19.514227650520507,4.39150905537038,25.43148618833545,16.311735587710547,9.158959678216357,6.307703754542682,5.653170202455525,7.688742984137879,4.746150060036998,1.3558546101006366,0.7558261288008519,0.3986456626057424,3.4274689564115777,5.097058717950419,1.6560716828863862,0.5029641280620635,0.5126865032332014,0.36394403535239145,0.33298889110822594,0.3422919719072182,1.8969175309528081,2.881200245780565,1.4332377996204662,4.995298466669272,1.7081997530257707,3.7246177190643937,1.044753456356088,0.9142623471331478,0.9281185158594986,0.7436869539383955,0.8263829813560842,0.859008258866045,0.4640631730769231,0.0,0.0
7,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),2.4819185382565663,2.0109953703703702,2.5550597380164097,2.1188859988580853,1.7970089259324937,1.3684529215864365,0.5877203951481805,0.34259374610688925,0.23462088698140196,0.2247928460086964,0.3487952729841758,0.7354405530740561,0.3667361304825821,0.2904018634401295,0.6481057938910504,0.3702999291938873,0.24611889435819764,0.18558819672348853,0.18685523247477528,0.1956126504862967,0.32416677527517446,0.1845777929476634,0.12543666279500068,0.08481272518360403,0.10201364673415438,0.15259663720116023,0.18975595611307133,0.14783893629476466,0.3086421465652328,0.26084665062405354,0.30960943927481377,0.4500793304690836,0.5941027528587759,0.798108905921516,0.9645848943570557,0.7916322519075221,0.9362836542867379,1.1908587223613836,1.2867906425487485,1.3001917368715918,1.5578066354881166,1.6689990402742865,1.907505834159278,1.5481652250344677,2.0903741811349574,2.4339344984537483,2.6364666949632145,2.9789987896888794,2.932017752428802,2.177071694069787,2.8621330043471045,3.0930125464102862,3.667136149086296,3.4181000872766507,4.314024368703162,3.589646299823792,3.4732992480772316,3.558333220801318,3.605644215807888,3.699242449894263,3.8252792478229316,0.0,0.0
8,Merchandise exports to high-income economies (% of total merchandise exports),71.13818043395509,70.84056712962963,69.41845400892471,71.0905284527057,67.0390731217119,64.01453224341508,64.73052394647993,67.4099912794319,66.44921316165951,62.24792846008697,59.49775456867463,60.21555852703254,60.118471358482516,63.674073773567684,60.900101250468985,56.974631246806275,65.93694573427132,64.24256609712006,65.35405142292223,67.22055521694512,61.36586059406879,56.04250562889024,59.672944039125674,65.23194957159482,65.71272144612992,64.88281850030182,68.70398243903028,73.09831538304253,71.41201657237855,87.16001354151977,64.84454482932873,70.86935819291834,72.6368891857614,73.52518865598529,75.56092722374392,70.54706858302019,72.4425473639284,75.8895155764061,77.73862584898626,79.04799685426258,74.70660126645595,70.14959506312418,71.00659415443886,70.3059971148938,69.46544054754581,69.5145243546873,68.10974928176704,65.69446960788788,66.41085217502756,66.04121338838172,64.07036570318564,63.52060987122366,64.49543180583922,61.126051118410615,61.155721185387094,63.94375672689292,65.33145941068196,63.971584540801864,62.056052389805394,61.596239029991104,60.086507157111754,0.0,0.0
9,Manufactures exports (% of merchandise exports),0.0,0.0,43.4341606486729,42.32906498150955,44.80751492203274,48.23673436907854,48.25665429975444,48.271047448681976,50.28887694562113,54.44138587789071,51.68364634166208,53.39515185888435,54.671442017125486,52.70890004315574,51.9432777449099,44.86000220754322,52.45233551246371,55.917326803045164,60.20928430995735,58.38976559678822,58.64094678166142,59.51695836932473,49.19175334191364,50.66869642946744,52.83399369598697,58.10627037562484,62.543608229019576,66.42153384234973,70.71672933291741,70.49009427417703,70.07542024588989,71.71169904846502,73.19657230902212,73.36523900394953,75.940656160853,73.25270228979703,72.12263374479872,74.038054893137,75.94758603766701,79.14734655935914,77.7277841742228,74.75601732166895,74.927803145047,76.4085751385618,73.35916697464944,70.61570183149252,65.7886789028159,63.72775441170776,62.24093555794341,66.32959201113884,62.618445782886546,61.14003973696208,62.22490991086511,60.08049313173475,62.614303543210546,68.76315847326764,71.51423802062666,69.69870122119387,69.26826008226618,71.0205379047355,71.01458430983469,68.07336899190557,62.33156302597077
10,Food exports (% of merchandise exports),0.0,0.0,38.896351992067366,39.86486278749955,36.60236835930532,33.41338668450675,32.38007607393355,33.68454210394131,31.915534996241096,27.81682592735249,29.675307433730964,30.419859381410724,29.682535753498644,33.33653722426431,32.55607286808381,37.72970974236948,31.599361367556412,32.21496008744425,28.508667381209747,30.80389088568382,28.166652773850004,30.177574020883657,26.771072521636953,23.916113261361083,23.26780878390192,25.345973493714784,24.410846977805846,19.72119460106617,16.669597028177357,16.394129635550588,15.578307229500336,16.79720295173432,16.17991952691199,16.793863541643024,15.527756210308915,18.679096576161115,18.540455291915787,17.76325700928988,17.17537305847889,14.493774285655537,12.790729417560806,13.283853381239805,12.733005234563608,11.057868766701318,10.388689982732851,8.969849787385412,8.556262820245848,9.189761014397847,9.94992191512781,7.9788315563445265,8.25712910075079,8.958600306965495,10.544811462496908,11.119220894848997,11.3379606823476,11.330009045130844,11.163614717867468,11.67721252857848,10.501019011996183,10.414488003574794,12.77341498441138,11.319294648825915,11.137448574541015
